2 2 0 0 0 0 -0.01224364650552649 1.479217476141741e-14
2 2 1 0 1 0 0.002296059143024058 -0.003632705568212512
2 2 1 1 1 1 -0.01640664468931082 2.231684624672944e-14
3 2 0 0 2 0 0.002460726443351295 0.00352324604314448
3 2 0 1 2 1 -0.001042644758882326 0.002483564646155396
3 3 0 0 2 2 -0.01640664470056559 2.231578756626908e-14
3 2 1 0 3 0 -0.006849288817106145 0.0003153881940124625
3 2 1 1 3 1 -0.002460726435403819 -0.003523246041971166
3 3 1 0 3 2 -0.002296059138944203 0.003632705567638533
3 3 1 1 3 3 -0.01224364651017371 1.47962932305735e-14
