15
 Cs -5.942000000000002  5.941999999999998 -5.942
  I -1.77635683940025e-15  5.941999999999998  0
  I -1.77635683940025e-15 -1.77635683940025e-15 -5.942
 Cs -5.942000000000002  5.941999999999998  5.942
 Cs -5.942000000000002 -5.942000000000002  5.942
  I -5.942000000000002 -1.77635683940025e-15  0
 Cs  5.941999999999998  5.941999999999998  5.942
 Cs -5.942000000000002 -5.942000000000002 -5.942
 Cs  5.941999999999998 -5.942000000000002 -5.942
 Cs  5.941999999999998  5.941999999999998 -5.942
  I  5.941999999999998 -1.77635683940025e-15  0
 Cs  5.941999999999998 -5.942000000000002  5.942
 Pb -1.77635683940025e-15 -1.77635683940025e-15  0
  I -1.77635683940025e-15 -5.942000000000002  0
  I -1.77635683940025e-15 -1.77635683940025e-15  5.942
