  0   8  +0.26824554 +0.130146156475 +0.01248634 -0.00000466 +0.26824389 +0.00000230 -0.00093737 -0.00001322 +0.00009660
  1   8  +0.27025191 +0.130142163045 +0.01267343 -0.00000002 +0.00124054 -0.00000429 +0.27016876 +0.00000120 -0.00658782
  2   8  +0.89302022 +0.129038435928 +0.13720831 +0.00000002 -0.00032163 +0.00000007 +0.00703549 +0.00000049 +0.89299245
  3   8  +0.70735141 +0.128287092104 +0.08558391 -0.00001596 -0.70734353 +0.00000135 -0.00332729 -0.00001216 -0.00026907
  4   8  +0.70759334 +0.128269368390 +0.08563064 +0.00000005 +0.00314105 -0.00001502 -0.70755742 +0.00000203 +0.00640079
  5   8  +0.00023592 +0.125343058586 +0.00000001 +0.00000044 -0.00023277 -0.00001666 -0.00003297 +0.00000310 +0.00001028
  6   8  +0.08877708 +0.124119872866 +0.00130431 +0.00000001 +0.00007152 +0.00002015 +0.08877702 +0.00000147 +0.00006231
  7   8  +0.09178585 +0.124099617615 +0.00139399 +0.00001712 +0.09178572 +0.00000299 -0.00011117 -0.00002896 -0.00010525
  0   9  +0.28679489 +0.156122803578 +0.01712174 -0.00000004 -0.00074164 +0.00000931 +0.22588084 +0.00000401 +0.17671616
  1   9  +0.22376949 +0.156118810147 +0.01042307 +0.00001159 +0.22376660 +0.00000003 +0.00094888 +0.00000004 +0.00062781
  2   9  +0.02340374 +0.155015083031 +0.00011321 +0.00000075 -0.02340227 -0.00000001 +0.00023671 -0.00000002 +0.00011405
  3   9  +0.08874347 +0.154263739206 +0.00161985 +0.00000002 -0.00041737 +0.00000636 +0.01893292 +0.00000018 -0.08669933
  4   9  +0.01900228 +0.154246015493 +0.00007426 +0.00000473 +0.01898815 -0.00000000 -0.00069547 -0.00000002 +0.00023078
  5   9  +0.43241326 +0.151319705689 +0.03772526 +0.00000000 -0.00007035 +0.00001241 +0.43240958 -0.00000243 -0.00178180
  6   9  +0.03572716 +0.150096519969 +0.00025545 -0.00000522 -0.03572584 -0.00000000 +0.00005304 +0.00000000 +0.00030246
  7   9  +0.39847646 +0.150076264718 +0.03177284 +0.00000001 +0.00001213 -0.00000515 -0.03474624 +0.00000039 +0.39695868
  0  10  +0.22446699 +0.156208587557 +0.01049418 -0.00000999 -0.22446371 +0.00000657 -0.00115808 -0.00000206 +0.00036155
  1  10  +0.28662821 +0.156204594126 +0.01711080 -0.00000004 -0.00078245 +0.00000924 +0.22584723 +0.00000024 -0.17648838
  2  10  +0.03111352 +0.155100867010 +0.00020019 -0.00000002 +0.00014517 -0.00000113 +0.03102955 +0.00000139 -0.00227972
  3  10  +0.01667624 +0.154349523185 +0.00005723 -0.00000828 -0.01666177 +0.00000555 +0.00042519 -0.00000339 +0.00054904
  4  10  +0.09012180 +0.154331799472 +0.00167130 +0.00000004 +0.00001454 +0.00000639 +0.01850615 +0.00000030 +0.08820126
  5  10  +0.43378178 +0.151405489668 +0.03798595 +0.00001233 +0.43378177 +0.00000155 +0.00000684 +0.00001446 -0.00005868
  6  10  +0.39876556 +0.150182303948 +0.03184145 +0.00000001 +0.00004892 -0.00000516 -0.03493034 -0.00000049 -0.39723273
  7  10  +0.03889808 +0.150162048697 +0.00030294 +0.00000578 +0.03888665 +0.00000222 +0.00020905 -0.00000213 +0.00091951
  0  11  +0.17067782 +0.163733860240 +0.00635962 -0.00000678 +0.17067647 +0.00000359 -0.00050853 -0.00001266 +0.00045075
  1  11  +0.16952019 +0.163729866809 +0.00627349 -0.00000001 +0.00059792 -0.00000283 +0.16949248 +0.00000095 +0.00300606
  2  11  +0.32373792 +0.162626139693 +0.02272565 -0.00000000 -0.00003694 -0.00000015 -0.00092153 -0.00000188 -0.32373661
  3  11  +0.33447495 +0.161874795868 +0.02414600 +0.00000221 +0.33447011 +0.00000100 +0.00159101 -0.00000006 -0.00083866
  4  11  +0.33388560 +0.161857072155 +0.02405835 -0.00000001 -0.00138526 +0.00000296 +0.33386668 +0.00000234 -0.00327360
  5  11  +0.00156734 +0.158930762351 +0.00000052 -0.00000190 -0.00155223 -0.00000390 +0.00019189 -0.00000124 -0.00010153
  6  11  +0.45788089 +0.157707576631 +0.04408556 +0.00000000 +0.00027733 -0.00000091 +0.45788060 -0.00000131 -0.00043276
