0	-0.21392  	 (0.00000   )
1	-0.46690  	 (-0.00000  )
2	-0.44632  	 (-0.00000  )
3	-0.46964  	 (-0.00000  )
4	-0.48930  	 (-0.00000  )
5	-0.48913  	 (-0.00000  )
6	-0.41585  	 (-0.00000  )
7	-0.43105  	 (-0.00000  )
8	-0.43019  	 (-0.00000  )
9	-0.48989  	 (-0.00000  )
10	-0.50136  	 (-0.00000  )
11	-0.48802  	 (-0.00000  )
12	-0.47233  	 (-0.00000  )
13	-0.42008  	 (-0.00000  )
14	-0.47437  	 (-0.00000  )
15	-0.42716  	 (-0.00000  )
16	-0.43336  	 (-0.00000  )
17	-0.44872  	 (-0.00000  )
18	-0.44956  	 (-0.00000  )
19	-0.43777  	 (-0.00000  )
20	-0.44757  	 (-0.00000  )
21	-0.02809  	 (-0.00000  )
22	-0.04191  	 (-0.00000  )
23	-0.03357  	 (-0.00000  )
24	-0.82139  	 (-0.00000  )
25	-0.54880  	 (-0.00000  )
26	-0.54517  	 (-0.00000  )
27	-0.53633  	 (-0.00000  )
28	-0.38107  	 (-0.00000  )
29	-0.38125  	 (-0.00000  )
30	-0.60246  	 (-0.00000  )
31	-0.60381  	 (-0.00000  )
32	-0.61282  	 (-0.00000  )
33	-0.01363  	 (-0.00000  )
34	-0.58987  	 (-0.00000  )
35	-0.59243  	 (-0.00000  )
36	-0.59626  	 (-0.00000  )
37	-0.72851  	 (-0.00000  )
38	-0.66702  	 (-0.00000  )
39	-0.56683  	 (-0.00000  )
40	-0.37509  	 (-0.00000  )
41	-0.40048  	 (-0.00000  )
42	-0.32589  	 (-0.00000  )
43	-0.32228  	 (-0.00000  )
44	-0.31997  	 (-0.00000  )
45	-0.29529  	 (-0.00000  )
46	-0.35425  	 (-0.00000  )
47	-0.29269  	 (-0.00000  )
48	-0.48679  	 (-0.00005  )
49	-0.48677  	 (-0.00004  )
50	-0.48697  	 (-0.00003  )
51	0.10139   	 (-0.00004  )
52	-0.76435  	 (-0.00004  )
53	-0.76435  	 (-0.00004  )
54	-0.87636  	 (-0.00003  )
55	-0.87637  	 (-0.00004  )
56	-0.87612  	 (-0.00004  )
57	0.04410   	 (-0.00004  )
58	0.04381   	 (-0.00004  )
59	0.04397   	 (-0.00003  )
60	-0.90186  	 (-0.00003  )
61	-0.60404  	 (-0.00004  )
62	-0.43422  	 (-0.00003  )
63	0.03677   	 (-0.00004  )
