  0  13  +0.08700288 +0.248089549133 +0.00250389 +0.02797862 -0.02651561 -0.02647616 +0.05542004 +0.04764053 -0.00645238
  1  13  +0.06941962 +0.248089549133 +0.00159409 +0.01088212 +0.00090289 +0.02747886 +0.01568287 +0.05986997 +0.01069558
  2  13  +0.00005196 +0.244471697874 +0.00000000 -0.00000872 +0.00001398 -0.00000017 +0.00003334 -0.00003379 +0.00001323
  3  13  +0.00013324 +0.244471697874 +0.00000001 +0.00001356 -0.00009226 +0.00002539 -0.00003446 -0.00005953 -0.00006067
  4  13  +0.00008789 +0.244471697874 +0.00000000 +0.00001780 +0.00007028 +0.00002290 -0.00002294 -0.00002373 +0.00002923
  5  13  +0.00019398 +0.244471697874 +0.00000001 -0.00001255 -0.00007614 -0.00004885 -0.00009679 -0.00010825 -0.00009055
  6  13  +0.00064891 +0.216855313548 +0.00000012 +0.00045515 +0.00026941 -0.00030316 -0.00019012 -0.00009077 -0.00007105
  7  13  +0.00082345 +0.216855313548 +0.00000020 +0.00018842 -0.00029228 -0.00060709 +0.00005553 +0.00034509 +0.00025770
  0  14  +0.00010837 +0.289650681167 +0.00000000 -0.00007753 +0.00005686 +0.00003128 -0.00003717 -0.00001162 -0.00000208
  1  14  +0.00016767 +0.289650681167 +0.00000001 -0.00004735 +0.00009455 +0.00002841 +0.00006087 -0.00000232 -0.00011142
  2  14  +0.32295832 +0.286032829908 +0.03977842 +0.15167990 -0.00683058 +0.24480381 -0.07134656 -0.03361086 -0.12288084
  3  14  +0.37098451 +0.286032829908 +0.05248874 +0.01991118 -0.19119688 -0.17218286 +0.11711178 -0.08389575 -0.22422356
  4  14  +0.24182802 +0.286032829908 +0.02230324 -0.14582654 +0.05969107 -0.08476412 -0.00441703 +0.07880565 +0.14225889
  5  14  +0.29234839 +0.286032829908 +0.03259538 -0.08427323 -0.19153932 +0.04716018 +0.10400821 +0.10948831 +0.12903027
  6  14  +0.11510499 +0.258416445583 +0.00456507 +0.06381534 +0.04572516 -0.03021183 +0.00751306 -0.03449063 +0.07019378
  7  14  +0.09054523 +0.258416445583 +0.00282482 +0.02420985 -0.01999315 +0.07729292 +0.01434840 -0.02422409 +0.02111201
  0  15  +0.00028315 +0.289650681460 +0.00000003 +0.00010092 +0.00011609 -0.00020764 -0.00010335 +0.00003881 +0.00003474
  1  15  +0.00024500 +0.289650681460 +0.00000002 -0.00006413 -0.00005656 -0.00011584 +0.00001171 +0.00019193 -0.00004814
  2  15  +0.29773076 +0.286032830201 +0.03380664 +0.02078839 -0.25892887 +0.11391820 +0.02499809 -0.01756112 +0.08518587
  3  15  +0.23518214 +0.286032830201 +0.02109421 +0.15490832 -0.05403812 +0.04105598 -0.14292008 +0.07812910 -0.01334278
  4  15  +0.36668528 +0.286032830201 +0.05127924 +0.07819494 -0.16230443 +0.11815143 +0.04639026 +0.27064011 +0.11244125
  5  15  +0.32782557 +0.286032830201 +0.04098645 -0.04208776 +0.00415942 +0.27299859 -0.04759470 -0.16352639 -0.04633096
  6  15  +0.09054341 +0.258416445875 +0.00282470 +0.02679839 -0.01636370 +0.01164966 -0.07774259 -0.02785984 +0.01601220
  7  15  +0.11510684 +0.258416445875 +0.00456521 +0.02240306 +0.07524561 +0.01695801 -0.02610749 +0.07760395 -0.00970758
