i  a   sqrt(mu2)     Ea-Ei 	  f_osc       mu_x.re     mu_x.im     mu_y.re     mu_y.im     mu_z.re     mu_z.im
6  10  0.94103997 0.216855313548  0.12802505  0.84671318 -0.13123677  0.15993169  0.35003887  0.02532891  0.05160444
6  11  0.89818209 0.216855313548  0.11662928  0.21011672  0.18661191 -0.28970039 -0.09444623  0.21351198 -0.76767458
6  12  1.06490427 0.216855313548  0.16394567 -0.30843270 -0.44379744 -0.43730343  0.66336532 -0.45849995 -0.02059527
6  13  0.85174520 0.216855313548  0.10488133  0.07345455  0.27078458 -0.03243088  0.55734616  0.44679255 -0.36802166
6  14  0.00813379 0.258416445583  0.00001140 -0.00125358 -0.00452636 -0.00125260 -0.00452462 -0.00125343 -0.00452623
6  15  0.01961370 0.258416445875  0.00006627 -0.00349521  0.01077107 -0.00349449  0.01077057 -0.00349464  0.01077199
7  8  1.09330257 0.156092174256  0.12438574 -0.28955121  0.03519389 -0.73848428  0.65937789 -0.32802656 -0.14997442
7  9  1.41591063 0.156092174256  0.20862270 -0.55214253 -0.82265703  0.27552501  0.10320949 -0.74959339  0.61214416
7  10  0.94357455 0.216855313548  0.12871562  0.13246436  0.11934279 -0.65163261  0.61211282  0.17876631 -0.16516313
7  11  0.98445826 0.216855313548  0.14011139  0.28849911 -0.57590230  0.28253601  0.15285214  0.64066614  0.20154257
7  12  0.80116667 0.216855313548  0.09279500  0.29979807  0.35425891 -0.00310205  0.04198427  0.24318811  0.60462966
7  13  1.02489963 0.216855313548  0.15185933  0.07443203  0.71855620  0.52678234 -0.04643955 -0.07922482 -0.49256805
7  14  0.01961390 0.258416445583  0.00006628  0.01132057  0.00021070  0.01132329  0.00021056  0.01132247  0.00021370
7  15  0.00813642 0.258416445875  0.00001141  0.00387176  0.00266506  0.00386801  0.00266139  0.00387172  0.00265961
